volume_name,title,authors,year,pdf_link,url
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Modeling Code-Switch Languages Using Bilingual Parallel Corpus,"Lee, Grandee, Li, Haizhou",2020,https://aclanthology.org/2020.acl-main.80/,https://aclanthology.org/2020.acl-main.80/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,S,"Cheng, Xingyi, Xu, Weidi, Chen, Kunlong, Jiang, Shaohua, Wang, Feng, Wang, Taifeng, Chu, Wei, Qi, Yuan",2020,https://aclanthology.org/2020.acl-main.81/,https://aclanthology.org/2020.acl-main.81/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Spelling Error Correction with Soft-Masked BERT,"Zhang, Shaohua, Huang, Haoran, Liu, Jicong, Li, Hang",2020,https://aclanthology.org/2020.acl-main.82/,https://aclanthology.org/2020.acl-main.82/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,A Frame-based Sentence Representation for Machine Reading Comprehension,"Guo, Shaoru, Li, Ru, Tan, Hongye, Li, Xiaoli, Guan, Yong, Zhao, Hongyan, Zhang, Yueping",2020,https://aclanthology.org/2020.acl-main.83/,https://aclanthology.org/2020.acl-main.83/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,A Methodology for Creating Question Answering Corpora Using Inverse Data Annotation,Authors Not Found,2020,https://aclanthology.org/2020.acl-main.84/,https://aclanthology.org/2020.acl-main.84/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Contextualized Sparse Representations for Real-Time Open-Domain Question Answering,"Lee, Jinhyuk, Seo, Minjoon, Hajishirzi, Hannaneh, Kang, Jaewoo",2020,https://aclanthology.org/2020.acl-main.85/,https://aclanthology.org/2020.acl-main.85/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Dynamic Sampling Strategies for Multi-Task Reading Comprehension,"Gottumukkala, Ananth, Dua, Dheeru, Singh, Sameer, Gardner, Matt",2020,https://aclanthology.org/2020.acl-main.86/,https://aclanthology.org/2020.acl-main.86/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Enhancing Answer Boundary Detection for Multilingual Machine Reading Comprehension,"Yuan, Fei, Shou, Linjun, Bai, Xuanyu, Gong, Ming, Liang, Yaobo, Duan, Nan, Fu, Yan, Jiang, Daxin",2020,https://aclanthology.org/2020.acl-main.87/,https://aclanthology.org/2020.acl-main.87/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Explicit Memory Tracker with Coarse-to-Fine Reasoning for Conversational Machine Reading,"Gao, Yifan, Wu, Chien-Sheng, Joty, Shafiq, Xiong, Caiming, Socher, Richard, King, Irwin, Lyu, Michael, Hoi, Steven C.H.",2020,https://aclanthology.org/2020.acl-main.88/,https://aclanthology.org/2020.acl-main.88/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Injecting Numerical Reasoning Skills into Language Models,"Geva, Mor, Gupta, Ankit, Berant, Jonathan",2020,https://aclanthology.org/2020.acl-main.89/,https://aclanthology.org/2020.acl-main.89/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Learning to Identify Follow-Up Questions in Conversational Question Answering,"Kundu, Souvik, Lin, Qian, Ng, Hwee Tou",2020,https://aclanthology.org/2020.acl-main.90/,https://aclanthology.org/2020.acl-main.90/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Query Graph Generation for Answering Multi-hop Complex Questions from Knowledge Bases,"Lan, Yunshi, Jiang, Jing",2020,https://aclanthology.org/2020.acl-main.91/,https://aclanthology.org/2020.acl-main.91/
